orbital_period,transit_epoch,transit_duration,transit_depth,planet_radius,disposition,dataset
6.15560285,134.81656,4.9843,285.0,2.32,0,KOI
2.090811305,134.17462,3.388,115.9,1.62,0,KOI
3.180027898,133.49863,3.5797,120.3,1.53,0,KOI
50.4467417,178.5014,7.159,370.3,2.67,0,KOI
11.76307164,180.93613,2.9076,1037.3,2.35,0,KOI
56.2279271,132.29259,3.57,862.7,2.37,0,KOI
7.953547,174.66224,2.6312,875.4,2.25,0,KOI
4.14451656,135.92831,2.3421,391.8,1.48,0,KOI
10.526294577,176.522462,2.5211,9768.0,8.24,0,KOI
4.583520948,169.973972,2.7055,3812.1,5.39,0,KOI
3.76181843,171.90364,3.5176,510.6,2.66,0,KOI
8.20396958,169.69138,2.9667,1024.4,3.01,0,KOI
14.49645186,143.41659,4.016,647.5,3.01,0,KOI
6.54626149,133.85964,2.75,655.9,2.19,0,KOI
12.71809866,175.35526,3.0957,1149.4,2.31,0,KOI
36.06588163,198.58423,4.3246,1563.8,2.64,0,KOI
4.190425659,171.44122,2.8589,2877.4,6.21,0,KOI
3.709870784,171.987982,3.0694,2020.3,4.35,0,KOI
16.3297527,177.29506,6.271,1187.5,3.75,0,KOI
27.807566216,186.713552,4.21587,25391.0,13.84,0,KOI
80.8723469,203.895,11.195,3604.6,7.59,0,KOI
24.99324319,138.68167,5.9409,269.6,2.29,0,KOI
10.35533116,170.93729,3.1775,750.6,2.47,0,KOI
16.08518937,180.28319,3.984,1442.4,3.68,0,KOI
235.9986399,208.399822,8.2284,20715.0,10.59,1,KOI
7.49018305,174.95037,2.7297,1123.6,2.56,0,KOI
36.2761238,201.2869,4.7865,1572.6,3.03,0,KOI
17.46087931,137.26594,2.2641,812.4,2.32,0,KOI
56.0560754,201.16578,4.685,1626.0,1.94,0,KOI
41.408316686,195.78745,5.0264,22839.0,11.38,0,KOI
39.74893077,172.854644,7.3051,15179.0,14.21,1,KOI
5.715425977,174.87931,2.5242,908.1,2.47,0,KOI
49.18394185,141.911924,11.3364,1646.2,8.2,0,KOI
20.0261412,146.91109,1.611,421.2,2.28,0,KOI
13.61014819,173.987319,2.594,5732.9,19.02,1,KOI
2.237489571,170.81914,1.8119,315.8,1.41,0,KOI
3.167893418,172.147959,2.1814,781.2,2.62,0,KOI
4.311780262,173.576483,2.7251,1154.0,3.11,0,KOI
20.0504494,188.08821,4.556,840.9,2.69,0,KOI
9.76734503,186.57718,1.6585,569.1,2.67,0,KOI
119.0207044,222.236492,8.1405,7430.5,8.98,1,KOI
190.3200468,312.68498,15.284,1141.7,7.78,0,KOI
26.44439337,194.12074,3.9783,1843.5,3.91,0,KOI
51.53997972,174.055011,6.3994,3644.3,5.51,0,KOI
5.902245782,136.78393,2.9003,702.3,2.43,0,KOI
2.382951591,135.080841,1.8876,391.6,1.86,0,KOI
21.02250608,207.67593,4.1072,1772.5,3.07,0,KOI
3.219814777,133.00406,2.0642,488.2,1.69,0,KOI
5.912273234,172.184012,2.3254,961.4,1.73,0,KOI
8.98581901,175.68418,2.8606,881.3,1.65,0,KOI
12.940668656,179.423014,2.4845,42450.0,22.94,1,KOI
33.60123371,186.680343,4.4056,7425.9,8.46,0,KOI
6.76652928,138.0637,2.9004,450.7,1.97,0,KOI
4.347288783,172.23343,2.1024,451.6,2.36,0,KOI
4.601811819,169.98108,2.2607,755.9,2.35,0,KOI
11.18719905,137.17814,3.252,353.6,1.55,0,KOI
4.220965778,170.622433,3.0854,2260.0,2.62,0,KOI
5.95489993,170.955871,2.3892,1410.7,2.33,0,KOI
12.03987488,181.22536,2.7363,1250.6,2.18,0,KOI
20.83762895,132.08488,2.3734,439.0,1.42,0,KOI
23.58917143,173.81994,5.073,1200.7,3.16,0,KOI
6.481633073,122.977657,3.784,298.5,2.54,0,KOI
10.37168928,172.61729,3.035,1254.9,3.2,0,KOI
3.96996298,137.75447,1.1757,299.2,1.78,0,KOI
4.40841331,172.18582,5.012,549.4,2.66,0,KOI
226.8904775,207.35971,7.558,3136.4,4.53,0,KOI
2.688899233,170.1020904,2.11275,37492.0,12.04,1,KOI
9.439459486,177.186096,2.8979,3036.1,4.16,0,KOI
11.523067458,131.969055,3.8757,507.3,3.13,0,KOI
20.47748843,178.66786,2.8364,1382.4,2.92,0,KOI
3.336123113,135.31623,1.9616,516.3,1.74,0,KOI
8.01078456,170.20739,2.312,1333.6,1.72,0,KOI
12.07134205,143.45948,4.3224,759.2,1.29,0,KOI
20.99587872,152.31554,2.6333,767.3,1.3,0,KOI
7.41113177,175.34754,2.5242,620.5,2.45,0,KOI
8.884922995,169.991686,2.07004,16053.0,10.51,0,KOI
8.09888906,176.623731,4.20241,6911.1,8.95,0,KOI
10.00653012,176.96898,5.344,936.1,3.52,0,KOI
17.855221681,146.596466,7.41287,9065.2,13.16,0,KOI
12.732624065,176.939054,2.2083,6465.7,4.87,1,KOI
83.92494032,236.76334,6.7904,7958.7,4.78,1,KOI
5.007316661,173.433997,4.2362,6932.3,6.96,0,KOI
2.211116989,170.150139,1.6485,724.2,1.85,0,KOI
27.9541337,178.73791,3.95,942.5,1.9,0,KOI
12.69104387,137.12594,3.7727,252.1,2.57,0,KOI
16.23947096,175.569907,4.0374,2590.7,4.14,0,KOI
6.308201629,174.047661,2.9785,1328.5,2.96,0,KOI
2.052349884,169.890622,2.0778,14281.0,13.12,0,KOI
9.7704486,175.71372,2.4517,1897.8,2.23,0,KOI
5.169804269,172.63153,2.153,1037.4,1.66,0,KOI
21.22261195,137.57403,6.5093,366.0,2.48,0,KOI
20.09017037,147.97788,4.154,1432.1,2.25,0,KOI
7.11373257,174.32351,2.1764,807.6,1.16,0,KOI
3.306551643,134.37211,1.8177,509.2,0.91,0,KOI
15.36845737,147.38965,2.4714,756.1,1.11,0,KOI
13.81020318,172.33533,3.048,1309.7,4.56,0,KOI
4.093578461,171.00954,2.5833,538.6,2.85,0,KOI
105.145959,178.367,8.593,685.4,3.43,0,KOI
10.8484518,171.80584,2.9993,1675.6,2.34,0,KOI
6.66833241,137.43988,1.915,362.3,1.18,0,KOI
4.082274889,169.6375652,3.23015,17859.0,10.55,0,KOI
3.886655224,169.73814,3.1646,581.6,1.87,1,KOI
42.1406089,139.0604,5.083,895.5,1.85,0,KOI
4.617490562,135.04909,2.2618,575.8,1.62,0,KOI
10.19849255,137.92067,2.4283,634.1,1.75,0,KOI
7.15681552,174.13511,2.5882,867.0,2.47,0,KOI
17.64830851,133.54533,2.0873,763.3,2.43,0,KOI
4.14810719,133.3881,2.535,175.2,1.08,0,KOI
16.51410989,176.11686,4.1575,973.5,2.72,0,KOI
30.1329298,190.38336,5.172,1015.8,3.14,0,KOI
4.79090809,136.31106,2.603,251.3,1.36,0,KOI
31.71981013,142.82083,4.819,363.4,3.09,0,KOI
99.6415962,198.68664,4.448,952.5,2.64,0,KOI
4.708326451,171.446507,3.16114,7912.7,10.6,0,KOI
5.392026903,171.72707,2.9804,1151.4,2.68,0,KOI
2.494170338,170.852848,1.1221,863.7,2.42,1,KOI
