orbital_period,transit_duration,transit_depth,planet_radius,radius_ratio,stellar_teff,stellar_radius,stellar_mass,insolation_flux,teq,label,mission
7.12594387,3.0014,192.4,1.79,0.01512,5779.0,1.087,0.941,233.31,997.0,CONFIRMED,Kepler
7.442652004,2.3078,24446.0,15.03,0.143936,6108.0,0.956,0.981,206.78,967.0,FALSE POSITIVE,Kepler
16.38489988,3.0249,1127.1,2.0,0.029758,4126.0,0.615,0.633,8.35,433.0,CONFIRMED,Kepler
7.8774163,2.0805,1306.1,2.16,0.03209,4126.0,0.615,0.633,22.18,553.0,CONFIRMED,Kepler
36.4454001,4.007,1122.3,1.99,0.029681,4126.0,0.615,0.633,2.88,332.0,CONFIRMED,Kepler
3.728732147,2.683,5226.5,6.02,0.068178,5497.0,0.809,0.907,258.34,1023.0,CONFIRMED,Kepler
40.4195037,3.362,6256.0,7.51,0.088069,5446.0,0.781,0.714,11.29,467.0,CANDIDATE,Kepler
2.243380573,1.1196,821.7,1.99,0.032248,4149.0,0.564,0.578,107.6,822.0,CONFIRMED,Kepler
10.405998015,6.5036,14489.0,11.23,0.111248,5746.0,0.924,0.77,113.94,833.0,FALSE POSITIVE,Kepler
2.337437946,1.9982,971.2,2.34,0.027998,5005.0,0.765,0.85,311.16,1070.0,CONFIRMED,Kepler
7.2406612,0.558,556.4,19.45,0.232818,5005.0,0.765,0.85,68.63,734.0,CANDIDATE,Kepler
3.43591631,3.133,23.2,0.55,0.004612,5779.0,1.087,0.941,617.61,1272.0,CANDIDATE,Kepler
11.59822233,2.5237,2804.5,2.65,0.051287,3688.0,0.473,0.503,5.82,396.0,CONFIRMED,Kepler
6.575315881,4.3084,2793.3,5.31,0.049152,5992.0,0.989,0.927,251.38,1015.0,CONFIRMED,Kepler
7.275040844,7.5377,3001.0,4.86,0.051358,5485.0,0.867,0.986,113.64,833.0,CONFIRMED,Kepler
19.27153892,2.7594,1219.8,1.93,0.031585,4077.0,0.56,0.576,5.66,393.0,CONFIRMED,Kepler
10.06524317,1.369,1053.3,1.91,0.031153,4077.0,0.56,0.576,13.43,488.0,CONFIRMED,Kepler
12.3935651,3.8896,916.6,2.66,0.032536,5557.0,0.75,0.832,49.68,677.0,CONFIRMED,Kepler
43.84439721,6.802,615.2,2.87,0.025934,5854.0,1.012,0.951,18.77,531.0,CONFIRMED,Kepler
3.341913228,3.813,725.3,21.55,0.243351,5295.0,0.811,0.853,268.67,1032.0,FALSE POSITIVE,Kepler
1.626630225,2.1145,1620.6,32.43,0.305244,5735.0,0.973,0.889,1355.88,1547.0,FALSE POSITIVE,Kepler
2.711504086,3.0099,837.5,3.12,0.026533,6214.0,1.076,1.169,960.79,1420.0,CONFIRMED,Kepler
7.21203748,4.0491,950.4,3.32,0.028255,6214.0,1.076,1.169,260.58,1025.0,CONFIRMED,Kepler
14.1798187,2.505,459.9,1.88,0.019561,5799.0,0.878,0.975,60.35,711.0,FALSE POSITIVE,Kepler
8.47237911,2.7245,1123.5,2.59,0.030119,5354.0,0.788,0.884,75.44,751.0,CONFIRMED,Kepler
60.4189369,5.039,931.3,2.36,0.027422,5354.0,0.788,0.884,5.49,390.0,CONFIRMED,Kepler
12.611904345,5.1497,6105.6,7.4,0.073758,5795.0,0.919,0.992,76.15,753.0,CONFIRMED,Kepler
1.433769925,1.8868,1976.3,46.58,0.318591,6017.0,1.339,1.083,3209.29,1920.0,FALSE POSITIVE,Kepler
10.31872301,3.836,871.7,28.59,0.247006,5927.0,1.06,1.05,139.26,876.0,FALSE POSITIVE,Kepler
2.539183147,2.4282,382.1,2.06,0.017724,5519.0,1.062,0.921,743.09,1332.0,CONFIRMED,Kepler
6.770300385,2.0844,1304.0,2.77,0.037414,5653.0,0.679,0.767,102.87,812.0,CONFIRMED,Kepler
0.444291966,2.0792,10967.0,27.51,0.396105,5255.0,0.636,0.709,2706.26,1836.0,FALSE POSITIVE,Kepler
10.181584004,3.5089,5741.1,7.73,0.084708,5988.0,0.836,0.885,102.91,812.0,CANDIDATE,Kepler
20.06036336,3.3203,1494.7,1.96,0.036455,3950.0,0.493,0.502,4.0,361.0,CONFIRMED,Kepler
46.1842039,4.758,1394.7,1.83,0.033974,3950.0,0.493,0.502,1.32,273.0,CONFIRMED,Kepler
23.9800854,5.351,104.0,1.31,0.011879,5854.0,1.012,0.951,41.94,649.0,CONFIRMED,Kepler
7.82502168,2.186,520.8,1.2,0.022312,3950.0,0.493,0.502,14.05,494.0,CONFIRMED,Kepler
3.895936525,2.3111,8544.8,7.34,0.08689,5557.0,0.774,0.866,241.62,1005.0,CONFIRMED,Kepler
22.36646466,5.228,986.8,2.32,0.028938,5395.0,0.734,0.821,19.45,536.0,CONFIRMED,Kepler
1.625522174,2.38963,7969.0,9.73,0.080543,5539.0,1.106,0.935,1467.41,1579.0,CONFIRMED,Kepler
19.620346923,2.0038,21725.0,13.6,0.137595,5710.0,0.905,0.928,40.39,643.0,CANDIDATE,Kepler
7.544039,6.222,322.6,17.47,0.194187,5657.0,0.824,0.919,116.46,838.0,FALSE POSITIVE,Kepler
9.02930689,3.1449,1019.8,2.57,0.028718,5349.0,0.82,0.824,77.75,757.0,CONFIRMED,Kepler
